date,マネタリーベース
2000/01,721978
2000/02,626865
2000/03,649807
2000/04,658350
2000/05,637448
2000/06,622152
2000/07,637116
2000/08,626193
2000/09,618261
2000/10,627618
2000/11,635571
2000/12,679588
2001/01,681280
2001/02,647866
2001/03,657361
2001/04,667725
2001/05,669654
2001/06,669739
2001/07,687826
2001/08,682731
2001/09,706356
2001/10,717502
2001/11,733778
2001/12,794424
2002/01,840818
2002/02,826163
2002/03,871493
2002/04,910393
2002/05,868229
2002/06,854332
2002/07,860806
2002/08,860881
2002/09,857469
2002/10,859299
2002/11,894000
2002/12,949444
2003/01,953668
2003/02,930274
2003/03,966459
2003/04,1015445
2003/05,1013547
2003/06,1027632
2003/07,1036363
2003/08,1037448
2003/09,1036332
2003/10,1036011
2003/11,1043362
2003/12,1074991
2004/01,1083320
2004/02,1080570
2004/03,1081238
2004/04,1082958
2004/05,1088328
2004/06,1072957
2004/07,1085248
2004/08,1085653
2004/09,1085201
2004/10,1079234
2004/11,1094035
2004/12,1119769
2005/01,1125134
2005/02,1093674
2005/03,1103301
2005/04,1115568
2005/05,1112725
2005/06,1091586
2005/07,1101137
2005/08,1097890
2005/09,1103950
2005/10,1109848
2005/11,1110432
2005/12,1130466
2006/01,1141316
2006/02,1114431
2006/03,1092791
2006/04,1035779
2006/05,941951
2006/06,914229
2006/07,905410
2006/08,875607
2006/09,869660
2006/10,873279
2006/11,862670
2006/12,904664
2007/01,900507
2007/02,879061
2007/03,884022
2007/04,908926
2007/05,887868
2007/06,876336
2007/07,884708
2007/08,881473
2007/09,875728
2007/10,877567
2007/11,871633
2007/12,907835
2008/01,899793
2008/02,879916
2008/03,883867
2008/04,883589
2008/05,879638
2008/06,880155
2008/07,878532
2008/08,879433
2008/09,883741
2008/10,889825
2008/11,888562
2008/12,924351
2009/01,935049
2009/02,936531
2009/03,944658
2009/04,956238
2009/05,949165
2009/06,936392
2009/07,932096
2009/08,933355
2009/09,923942
2009/10,928609
2009/11,922042
2009/12,972143
2010/01,980675
2010/02,956928
2010/03,964571
2010/04,983836
2010/05,984323
2010/06,970240
2010/07,989359
2010/08,983995
2010/09,977173
2010/10,988248
2010/11,991866
2010/12,1040238
2011/01,1034826
2011/02,1010039
2011/03,1127432
2011/04,1218934
2011/05,1144208
2011/06,1134780
2011/07,1137324
2011/08,1140447
2011/09,1140181
2011/10,1156428
2011/11,1184978
2011/12,1180195
2012/01,1189656
2012/02,1124409
2012/03,1124618
2012/04,1215003
2012/05,1171210
2012/06,1202142
2012/07,1235010
2012/08,1214626
2012/09,1243261
2012/10,1281344
2012/11,1244449
2012/12,1319837
2013/01,1319205
2013/02,1293148
2013/03,1347413
2013/04,1495975
2013/05,1541412
2013/06,1635375
2013/07,1703890
2013/08,1724437
2013/09,1817012
2013/10,1868687
2013/11,1897244
2013/12,1934594
2014/01,2004141
2014/02,2013223
2014/03,2085929
2014/04,2220795
2014/05,2243719
2014/06,2332465
2014/07,2431068
2014/08,2423138
2014/09,2458169
2014/10,2557542
2014/11,2593603
2014/12,2674016
2015/01,2753859
2015/02,2752617
2015/03,2821182
2015/04,3003275
2015/05,3043476
2015/06,3130770
2015/07,3228211
2015/08,3229269
2015/09,3321941
2015/10,3388877
2015/11,3437218
2015/12,3463793
2016/01,3551030
2016/02,3550415
2016/03,3626050
2016/04,3808364
2016/05,3818397
2016/06,3927119
2016/07,4024578
2016/08,4009981
2016/09,4075081
2016/10,4138966
2016/11,4176573
2016/12,4263922
2017/01,4352054
2017/02,4309696
2017/03,4362634
2017/04,4562398
2017/05,4559954
2017/06,4594854
2017/07,4650692
2017/08,4663075
2017/09,4711205
2017/10,4738791
2017/11,4725834
2017/12,4741265
2018/01,4772595
2018/02,4716382
2018/03,4759328
2018/04,4920203
2018/05,4929691
2018/06,4933638
2018/07,4976398
2018/08,4983868
2018/09,4988216
2018/10,5016198
2018/11,5013302
2018/12,4970034
2019/01,4997797
2019/02,4930980
2019/03,4942027
2019/04,5073520
2019/05,5108086
2019/06,5129912
2019/07,5160145
2019/08,5125110
2019/09,5138266
2019/10,5171008
2019/11,5176305
2019/12,5127767
2020/01,5141329
2020/02,5106311
2020/03,5078486
2020/04,5189225
2020/05,5308787
2020/06,5440233
2020/07,5667600
2020/08,5715919
2020/09,5871952
2020/10,6012845
2020/11,6029293
2020/12,6065491
2021/01,6114206
2021/02,6106078
2021/03,6133816
2021/04,6448961
2021/05,6499142
2021/06,6480471
2021/07,6541081
2021/08,6569573
2021/09,6557964
2021/10,6607426
2021/11,6590000
2021/12,6570831
2022/01,6627169
2022/02,6571737
2022/03,6621323
2022/04,6874736
2022/05,6800213
2022/06,6734841
2022/07,6722218
2022/08,6597138
2022/09,6341934
2022/10,6152627
2022/11,6168203
2022/12,6172224
2023/01,6376936
2023/02,6464403
2023/03,6557809
2023/04,6759281
2023/05,
2023/06,
2023/07,
2023/08,
2023/09,
2023/10,
2023/11,
2023/12,
