date,M1マネーストック,M2マネーストック,M3マネーストック
2000/01,,,
2000/02,,,
2000/03,,,
2000/04,,,
2000/05,,,
2000/06,,,
2000/07,,,
2000/08,,,
2000/09,,,
2000/10,,,
2000/11,,,
2000/12,,,
2001/01,,,
2001/02,,,
2001/03,,,
2001/04,,,
2001/05,,,
2001/06,,,
2001/07,,,
2001/08,,,
2001/09,,,
2001/10,,,
2001/11,,,
2001/12,,,
2002/01,,,
2002/02,,,
2002/03,,,
2002/04,,,
2002/05,,,
2002/06,,,
2002/07,,,
2002/08,,,
2002/09,,,
2002/10,,,
2002/11,,,
2002/12,,,
2003/01,,,
2003/02,,,
2003/03,,,
2003/04,4310580,6767067,10121694
2003/05,4321237,6770869,10124315
2003/06,4306270,6777550,10135410
2003/07,4331338,6813055,10182600
2003/08,4325446,6807344,10171792
2003/09,4305898,6768459,10125379
2003/10,4305377,6755731,10108026
2003/11,4321211,6757284,10106457
2003/12,4411653,6825840,10188715
2004/01,4414769,6833119,10200701
2004/02,4382169,6797767,10161554
2004/03,4427067,6825916,10178254
2004/04,4495727,6891883,10240449
2004/05,4509364,6903843,10247418
2004/06,4471918,6894824,10243116
2004/07,4515052,6937875,10296877
2004/08,4502260,6933689,10284198
2004/09,4488931,6907282,10242206
2004/10,4502668,6890506,10217592
2004/11,4504280,6894786,10214727
2004/12,4602156,6960622,10286853
2005/01,4608681,6965712,10290636
2005/02,4564162,6920502,10236287
2005/03,4635976,6965119,10264527
2005/04,4708797,7015356,10300901
2005/05,4698447,7003169,10277921
2005/06,4673544,7006819,10276257
2005/07,4716281,7050604,10326224
2005/08,4700444,7043747,10306222
2005/09,4715152,7046184,10294571
2005/10,4728972,7021746,10261250
2005/11,4732656,7036014,10264694
2005/12,4838092,7089899,10321464
2006/01,4835801,7087795,10312859
2006/02,4793446,7037961,10248303
2006/03,4845297,7061195,10253653
2006/04,4926585,7129110,10312459
2006/05,4891293,7093181,10266187
2006/06,4851551,7085888,10256739
2006/07,4861000,7085186,10259062
2006/08,4813666,7073070,10232583
2006/09,4792678,7081933,10227379
2006/10,4774935,7059775,10193077
2006/11,4760117,7078251,10199453
2006/12,4842423,7137934,10262705
2007/01,4835774,7151423,10269517
2007/02,4796733,7108923,10214947
2007/03,4842888,7138415,10229372
2007/04,4905360,7210967,10295409
2007/05,4871488,7195192,10269955
2007/06,4843916,7216367,10291129
2007/07,4845973,7228811,10305992
2007/08,4787946,7198156,10263032
2007/09,4775824,7201921,10253260
2007/10,4788071,7193436,10252662
2007/11,4780228,7220662,10262895
2007/12,4867839,7285588,10331481
2008/01,4851690,7304457,10343418
2008/02,4797076,7276617,10301876
2008/03,4829330,7299474,10309911
2008/04,4864131,7345919,10347836
2008/05,4840418,7342982,10338815
2008/06,4828036,7378298,10380818
2008/07,4809246,7381435,10383576
2008/08,4775265,7371732,10366872
2008/09,4752361,7358569,10347253
2008/10,4737539,7325322,10308665
2008/11,4744740,7349960,10329259
2008/12,4817550,7417325,10406445
2009/01,4812656,7447359,10437570
2009/02,4782966,7432345,10421260
2009/03,4830179,7462845,10445322
2009/04,4890494,7542195,10523923
2009/05,4877091,7539544,10520476
2009/06,4853623,7564651,10555491
2009/07,4838206,7581721,10581550
2009/08,4810780,7579114,10576771
2009/09,4793777,7577582,10564571
2009/10,4791813,7574488,10557680
2009/11,4797026,7592868,10574794
2009/12,4866683,7644352,10635184
2010/01,4866638,7668556,10662085
2010/02,4825172,7635656,10628685
2010/03,4878014,7662193,10648782
2010/04,4964280,7759675,10749117
2010/05,4971991,7773641,10763798
2010/06,4935095,7784280,10784515
2010/07,4937696,7788079,10799075
2010/08,4916443,7789657,10797344
2010/09,4908660,7788638,10789465
2010/10,4933890,7784699,10784091
2010/11,4935395,7788978,10786221
2010/12,5014790,7822875,10829365
2011/01,5023680,7843991,10852541
2011/02,4996971,7818290,10822493
2011/03,5082649,7860811,10857475
2011/04,5217948,7970763,10976124
2011/05,5212867,7983201,10994798
2011/06,5180261,8005162,11027795
2011/07,5194483,8017214,11055295
2011/08,5163885,7997234,11034139
2011/09,5164725,8000077,11033800
2011/10,5185731,8002828,11036569
2011/11,5190333,8024423,11057260
2011/12,5280186,8069214,11114608
2012/01,5279252,8082743,11132822
2012/02,5242851,8047690,11095882
2012/03,5306402,8092707,11135445
2012/04,5394377,8178578,11228021
2012/05,5366404,8157056,11204900
2012/06,5350671,8185426,11242070
2012/07,5352006,8199760,11269945
2012/08,5337947,8191274,11261725
2012/09,5349706,8192726,11261178
2012/10,5354644,8183764,11253832
2012/11,5354750,8193913,11262758
2012/12,5456691,8276923,11358541
2013/01,5467312,8299554,11385130
2013/02,5444604,8282805,11365785
2013/03,5520683,8338735,11414268
2013/04,5608485,8437335,11516195
2013/05,5603539,8440305,11518374
2013/06,5627126,8496379,11585000
2013/07,5633167,8505401,11608340
2013/08,5615221,8498909,11602679
2013/09,5624546,8507913,11610682
2013/10,5649505,8520882,11625774
2013/11,5664121,8550157,11655386
2013/12,5769353,8627674,11745546
2014/01,5789015,8658882,11778517
2014/02,5739022,8611077,11726815
2014/03,5798442,8634439,11739845
2014/04,5888099,8728308,11835518
2014/05,5869597,8716091,11823445
2014/06,5868525,8753539,11872062
2014/07,5859524,8757077,11891727
2014/08,5851045,8751629,11887733
2014/09,5860154,8767152,11901050
2014/10,5889989,8788034,11927419
2014/11,5936954,8854000,11993459
2014/12,6036426,8931353,12085313
2015/01,6042467,8946578,12104783
2015/02,6018812,8908583,12065566
2015/03,6085831,8943131,12093214
2015/04,6178161,9040704,12191441
2015/05,6201155,9070027,12215160
2015/06,6185020,9090087,12244585
2015/07,6185561,9102447,12271255
2015/08,6181187,9112081,12281934
2015/09,6170147,9096904,12263554
2015/10,6202103,9105777,12273462
2015/11,6221647,9145928,12313182
2015/12,6305980,9206476,12386000
2016/01,6311912,9226554,12411437
2016/02,6304091,9183408,12367839
2016/03,6413357,9214352,12393702
2016/04,6591042,9337483,12520875
2016/05,6620864,9368340,12555159
2016/06,6623091,9394599,12594721
2016/07,6651193,9404959,12623788
2016/08,6647099,9399942,12621687
2016/09,6656996,9407430,12625523
2016/10,6713560,9429381,12649217
2016/11,6764869,9494509,12716022
2016/12,6878435,9563427,12800804
2017/01,6912194,9590487,12833922
2017/02,6900633,9561292,12803148
2017/03,6972738,9597629,12832462
2017/04,7101689,9702896,12938605
2017/05,7124084,9723663,12961343
2017/06,7129497,9763583,13013826
2017/07,7150693,9781486,13047848
2017/08,7142856,9776216,13045399
2017/09,7166146,9788225,13057024
2017/10,7217045,9813059,13083945
2017/11,7263113,9874847,13145797
2017/12,7345538,9905721,13192095
2018/01,7371927,9917009,13206997
2018/02,7337047,9865773,13152045
2018/03,7406615,9890903,13169126
2018/04,7545588,10010867,13292729
2018/05,7565323,10031511,13312552
2018/06,7593071,10066296,13360470
2018/07,7603904,10068028,13379294
2018/08,7591960,10056582,13370132
2018/09,7610156,10065900,13378670
2018/10,7639033,10074396,13388535
2018/11,7664868,10105049,13419958
2018/12,7742591,10142429,13469683
2019/01,7754561,10147973,13477055
2019/02,7730901,10097697,13423539
2019/03,7813445,10125050,13440891
2019/04,7974190,10252191,13567501
2019/05,8012372,10286310,13602690
2019/06,7975402,10289611,13616152
2019/07,7970276,10290435,13631830
2019/08,7970276,10284205,13626135
2019/09,7993063,10295668,13634939
2019/10,8023157,10304091,13643724
2019/11,8082871,10365381,13706709
2019/12,8180068,10404214,13762321
2020/01,8205470,10416148,13775113
2020/02,8191377,10384810,13740459
2020/03,8295745,10442899,13790749
2020/04,8539371,10630037,13978017
2020/05,8750740,10812699,14170023
2020/06,8958961,11036494,14425302
2020/07,9019974,11102775,14524277
2020/08,9089419,11168053,14599821
2020/09,9134814,11219593,14652371
2020/10,9152514,11232567,14671488
2020/11,9217980,11306001,14747880
2020/12,9314014,11359680,14813455
2021/01,9379439,11400194,14860492
2021/02,9388262,11384748,14846612
2021/03,9467804,11436375,14895043
2021/04,9661557,11617797,15082268
2021/05,9747587,11675413,15145502
2021/06,9728780,11690901,15176271
2021/07,9744262,11690055,15195436
2021/08,9752890,11688405,15198803
2021/09,9769516,11691501,15200540
2021/10,9814220,11705647,15218135
2021/11,9870813,11756672,15269876
2021/12,9951946,11782086,15309517
2022/01,9996112,11813179,15344038
2022/02,9986690,11789009,15318344
2022/03,10059651,11833171,15359322
2022/04,10241465,12018499,15551700
2022/05,10283414,12042833,15578980
2022/06,10275588,12078178,15623264
2022/07,10287868,12088016,15648341
2022/08,10293335,12088202,15649767
2022/09,10289398,12075500,15632476
2022/10,10300549,12064408,15619677
2022/11,10363893,12124935,15677345
2022/12,10425610,12128301,15693481
2023/01,10448518,12132459,15696318
2023/02,10420943,12091403,15649398
2023/03,10508415,12136411,15687830
2023/04,,,
2023/05,,,
2023/06,,,
2023/07,,,
2023/08,,,
2023/09,,,
2023/10,,,
2023/11,,,
2023/12,,,
